********************************************************************************
Field Output Report, written Thu May 28 11:11:24 2015

Source 1
---------

   ODB: C:/Users/ozarraga/Desktop/BeamOnDisk/beamOnDiskMatrix.odb
   Step: presion
   Frame: Increment     10: Step Time =    1.000

Loc 1 : Surface nodal values from source 1 ( Average criteria = 75%, Not averaged across region boundaries )

Output sorted by column "Node Label".

Field Output reported at element nodes for part: BEAM-1

         Element           Facet            Node          CPRESS
           Label              Id           Label          @Loc 1
-----------------------------------------------------------------
               1               2               1     3.23738E+06
               2               2               2     1.67376E+06
               1               2               2     1.67376E+06
               2               2               3     3.34055E+06
               1               2               4     1.27300E+06
               3               2               4     1.27300E+06
               2               2               5              0.
               3               2               5              0.
               1               2               5              0.
               4               2               5              0.
               2               2               6     1.17703E+06
               4               2               6     1.17703E+06
               3               2               7     3.76578E+06
               4               2               8     1.33559E+06
               3               2               8     1.33559E+06
               4               2               9     3.54574E+06
               1               2             194     2.44531E+06
               1               2             195     592.282E+03
               2               2             195     592.282E+03
               1               2             196     406.525E+03
               3               2             196     406.525E+03
               1               2             197     2.27392E+06
               2               2             205     2.51741E+06
               2               2             206     2.27965E+06
               2               2             207     363.808E+03
               4               2             207     363.808E+03
               3               2             213     457.711E+03
               4               2             213     457.711E+03
               3               2             214     2.54456E+06
               3               2             215     2.50066E+06
               4               2             220     2.34053E+06
               4               2             221     2.44679E+06


  Minimum                                                     0.
      At Element                                               4
        Facet Id                                               2
            Node                                               5

  Maximum                                            3.76578E+06
      At Element                                               3
        Facet Id                                               2
            Node                                               7

           Total                                     47.7977E+06


Field Output reported at element nodes for part: DISK-1

         Element           Facet            Node          CPRESS
           Label              Id           Label          @Loc 1
-----------------------------------------------------------------
               3               1            1666              0.
               1               1            1666              0.
              20               1            1667              0.
               3               1            1667              0.
               4               1            1667              0.
              39               1            1668              0.
               4               1            1668              0.
              50               1            1669              0.
              40               1            1669              0.
             312               1            1669              0.
              50               1            1670              0.
              71               1            1670              0.
              71               1            1671              0.
              99               1            1671              0.
              70               1            1671              0.
             108               1            1672              0.
              99               1            1672              0.
             109               1            1673              0.
             669               1            1673              0.
             108               1            1673              0.
             111               1            1674              0.
             109               1            1674              0.
             202               1            1675              0.
             526               1            1675              0.
             112               1            1675              0.
             112               1            1676              0.
              19               1            1676              0.
              18               1            1677              0.
               1               1            1677              0.
              19               1            1677              0.
             529               1            1678              0.
             586               1            1678              0.
             531               1            1679              0.
             280               1            1679              0.
             604               1            1680              0.
              59               1            1680              0.
             534               1            1681              0.
             593               1            1681              0.
             535               1            1682              0.
             274               1            1682              0.
             536               1            1683              0.
             592               1            1683              0.
             273               1            1684              0.
              68               1            1684              0.
              67               1            1685              0.
              66               1            1685              0.
             637               1            1686              0.
              65               1            1686              0.
             247               1            1687              0.
             646               1            1687              0.
             541               1            1688              0.
             621               1            1688              0.
             244               1            1689              0.
             543               1            1689              0.
              79               1            1690              0.
             545               1            1690              0.
              78               1            1691              0.
             546               1            1691              0.
             500               1            1692              0.
             549               1            1692              0.
             613               1            1693              0.
             220               1            1693              0.
             232               1            1694              0.
             596               1            1694              0.
             553               1            1695              0.
             229               1            1695              0.
             554               1            1696              0.
             521               1            1696              0.
             555               1            1697              0.
             556               1            1697              0.
             639               1            1698              0.
             203               1            1698              0.
             627               1            1699              0.
             559               1            1699              0.
            1507               1            1700              0.
             561               1            1700              0.
             562               1            1701              0.
             611               1            1701              0.
             564               1            1702              0.
             193               1            1702              0.
             565               1            1703              0.
             601               1            1703              0.
             655               1            1704              0.
             614               1            1704              0.
             189               1            1705              0.
             190               1            1705              0.
             188               1            1706              0.
             128               1            1706              0.
             127               1            1707              0.
             567               1            1707              0.
             569               1            1708              0.
             124               1            1708              0.
             571               1            1709              0.
             641               1            1709              0.
             185               1            1710              0.
             184               1            1710              0.
             573               1            1711              0.
             186               1            1711              0.
             164               1            1712              0.
             607               1            1712              0.
             576               1            1713              0.
             378               1            1713              0.
             163               1            1714              0.
             577               1            1714              0.
             376               1            1715              0.
             579               1            1715              0.
             156               1            1716              0.
             581               1            1716              0.
              31               1            1717              0.
             582               1            1717              0.
              28               1            1718              0.
              29               1            1718              0.
              27               1            1719              0.
             587               1            1719              0.
             714               1            1720              0.
             526               1            1720              0.
             111               1            1720              0.
             706               1            1720              0.
             235               1            1721              0.
             236               1            1721              0.
             245               1            1721              0.
             757               1            1721              0.
             183               1            1722              0.
             182               1            1722              0.
             654               1            1722              0.
             181               1            1722              0.
             246               1            1723              0.
             263               1            1723              0.
             815               1            1723              0.
             339               1            1723              0.
             281               1            1724              0.
               2               1            1724              0.
               3               1            1724              0.
              20               1            1724              0.
             282               1            1725              0.
             772               1            1725              0.
             286               1            1725              0.
             820               1            1725              0.
            1124               1            1726              0.
             287               1            1726              0.
             870               1            1726              0.
             170               1            1726              0.
            1159               1            1727              0.
            1388               1            1727              0.
            1309               1            1727              0.
             169               1            1727              0.
            1384               1            1727              0.
             167               1            1728              0.
             177               1            1728              0.
             289               1            1728              0.
             168               1            1728              0.
